Date,Temp
1850-01-01,-0.79
1850-02-01,-0.243
1850-03-01,-0.394
1850-04-01,-0.625
1850-05-01,-0.652
1850-06-01,-0.374
1850-07-01,-0.192
1850-08-01,-0.179
1850-09-01,-0.443
1850-10-01,-0.611
1850-11-01,-0.595
1850-12-01,-0.51
1851-01-01,-0.195
1851-02-01,-0.439
1851-03-01,-0.586
1851-04-01,-0.654
1851-05-01,-0.36
1851-06-01,-0.28
1851-07-01,-0.233
1851-08-01,-0.323
1851-09-01,-0.416
1851-10-01,-0.167
1851-11-01,-0.401
1851-12-01,-0.169
1852-01-01,-0.275
1852-02-01,-0.541
1852-03-01,-0.783
1852-04-01,-0.555
1852-05-01,-0.176
1852-06-01,-0.131
1852-07-01,-0.056
1852-08-01,-0.368
1852-09-01,-0.325
1852-10-01,-0.186
1852-11-01,-0.56
1852-12-01,0.061
1853-01-01,-0.307
1853-02-01,-0.382
1853-03-01,-0.421
1853-04-01,-0.296
1853-05-01,-0.295
1853-06-01,-0.196
1853-07-01,0.015
1853-08-01,-0.074
1853-09-01,-0.422
1853-10-01,-0.496
1853-11-01,-0.672
1853-12-01,-0.352
1854-01-01,-0.586
1854-02-01,-0.618
1854-03-01,-0.299
1854-04-01,-0.432
1854-05-01,-0.314
1854-06-01,-0.5
1854-07-01,-0.201
1854-08-01,-0.21
1854-09-01,-0.275
1854-10-01,0.09
1854-11-01,-0.258
1854-12-01,-0.271
1855-01-01,-0.113
1855-02-01,-0.175
1855-03-01,-0.295
1855-04-01,-0.112
1855-05-01,-0.259
1855-06-01,-0.365
1855-07-01,-0.401
1855-08-01,-0.271
1855-09-01,-0.502
1855-10-01,-0.329
1855-11-01,-0.406
1855-12-01,-0.569
1856-01-01,-0.005
1856-02-01,-0.427
1856-03-01,-0.437
1856-04-01,-0.437
1856-05-01,-0.369
1856-06-01,-0.16
1856-07-01,-0.309
1856-08-01,-0.542
1856-09-01,-0.739
1856-10-01,-0.696
1856-11-01,-0.59
1856-12-01,-0.453
1857-01-01,-0.546
1857-02-01,-0.581
1857-03-01,-0.658
1857-04-01,-0.847
1857-05-01,-0.789
1857-06-01,-0.581
1857-07-01,-0.528
1857-08-01,-0.478
1857-09-01,-0.507
1857-10-01,-0.552
1857-11-01,-0.519
1857-12-01,-0.249
1858-01-01,-0.248
1858-02-01,-0.526
1858-03-01,-0.335
1858-04-01,-0.306
1858-05-01,-0.439
1858-06-01,-0.288
1858-07-01,-0.342
1858-08-01,-0.346
1858-09-01,-0.51
1858-10-01,-0.301
1858-11-01,-0.194
1858-12-01,-0.516
1859-01-01,-0.385
1859-02-01,-0.33
1859-03-01,-0.267
1859-04-01,-0.017
1859-05-01,-0.016
1859-06-01,-0.146
1859-07-01,-0.337
1859-08-01,-0.378
1859-09-01,-0.552
1859-10-01,-0.263
1859-11-01,-0.21
1859-12-01,-0.116
1860-01-01,-0.368
1860-02-01,-0.349
1860-03-01,-0.727
1860-04-01,-0.308
1860-05-01,-0.25
1860-06-01,-0.235
1860-07-01,-0.291
1860-08-01,-0.24
1860-09-01,-0.323
1860-10-01,-0.377
1860-11-01,-0.551
1860-12-01,-0.891
1861-01-01,-1.033
1861-02-01,-0.689
1861-03-01,-0.609
1861-04-01,-0.459
1861-05-01,-0.497
1861-06-01,-0.404
1861-07-01,-0.344
1861-08-01,-0.22
1861-09-01,-0.43
1861-10-01,-0.492
1861-11-01,-0.228
1861-12-01,-0.369
1862-01-01,-0.947
1862-02-01,-0.791
1862-03-01,-0.564
1862-04-01,-0.588
1862-05-01,-0.321
1862-06-01,-0.338
1862-07-01,-0.348
1862-08-01,-0.507
1862-09-01,-0.562
1862-10-01,-0.474
1862-11-01,-0.605
1862-12-01,-0.882
