,time,nino34,soi,tna,tsa
0,1991-01-15,0.49,1.0,-0.29918376,-0.12370433
1,1991-02-15,0.32,0.4,-0.21190645,-0.24985832
2,1991-03-15,0.03,-1.1,-0.5232973,-0.2663234
3,1991-04-15,0.19,-1.0,-0.52982986,-0.040607277
4,1991-05-15,0.26,-1.7,-0.60625964,-0.14098781
5,1991-06-15,0.52,-0.2,-0.52928543,0.094386786
6,1991-07-15,0.76,0.0,-0.6629006,-0.19109224
7,1991-08-15,0.68,-0.7,-0.69303256,-0.16941504
8,1991-09-15,0.42,-2.5,-0.40804324,-0.17151356
9,1991-10-15,0.86,-1.7,-0.52857715,-0.4088631
10,1991-11-15,1.2,-1.1,-0.47036615,-0.33856535
11,1991-12-15,1.69,-2.9,-0.41359198,-0.15958904
12,1992-01-15,1.84,-4.7,-0.13737206,-0.3610601
13,1992-02-15,1.78,-1.5,-0.13752888,-0.5695282
14,1992-03-15,1.38,-3.3,-0.32750788,-0.5935495
15,1992-04-15,1.2,-1.7,-0.41363832,-0.6865349
16,1992-05-15,1.04,0.4,-0.31952763,-0.9417917
17,1992-06-15,0.58,-1.0,-0.39446998,-1.0382
18,1992-07-15,0.22,-1.0,-0.20880927,-0.67116374
19,1992-08-15,0.05,0.6,-0.52334857,-0.73813087
20,1992-09-15,-0.06,0.1,-0.512587,-0.80964506
21,1992-10-15,-0.3,-2.3,-0.53588426,-0.7834587
22,1992-11-15,-0.28,-1.1,-0.59360075,-0.8960033
23,1992-12-15,-0.15,-0.9,-0.5612465,-0.668818
24,1993-01-15,0.14,-1.5,-0.4200316,-0.6155184
25,1993-02-15,0.41,-1.2,-0.4944957,-0.2724083
26,1993-03-15,0.39,-0.8,-0.39870378,-0.39684957
27,1993-04-15,0.59,-1.9,-0.21615829,-0.12561318
28,1993-05-15,0.78,-0.6,-0.13559757,-0.09200168
29,1993-06-15,0.35,-1.4,-0.16503567,-0.14643653
30,1993-07-15,0.23,-1.3,-0.48613158,-0.37307253
31,1993-08-15,0.13,-1.6,-0.44611257,-0.23094118
32,1993-09-15,0.35,-1.2,-0.4819306,0.34621143
33,1993-10-15,0.06,-1.8,-0.5381619,0.53873295
34,1993-11-15,0.0,-0.1,-0.63364893,0.6510204
35,1993-12-15,0.16,0.3,-0.6884275,0.43513793
36,1994-01-15,0.1,-0.2,-0.8850751,0.08264241
37,1994-02-15,0.06,0.4,-0.8432179,-0.09479426
38,1994-03-15,0.11,-1.1,-0.7444696,-0.061551966
39,1994-04-15,0.26,-2.1,-0.6142499,-0.10153521
40,1994-05-15,0.31,-1.1,-0.7956825,-0.19123392
41,1994-06-15,0.32,-0.7,-0.6848579,-0.30396354
42,1994-07-15,0.24,-2.2,-0.5990425,-0.3627002
43,1994-08-15,0.53,-2.0,-0.6341389,-0.24453643
44,1994-09-15,0.48,-2.6,-0.79675037,-0.27594435
45,1994-10-15,0.75,-1.9,-0.6338503,-0.3375758
46,1994-11-15,1.11,-0.9,-0.3779242,-0.1393057
47,1994-12-15,1.25,-2.0,-0.56710494,-0.22755562
48,1995-01-15,1.02,-0.7,-0.3250605,0.017935261
49,1995-02-15,0.73,-0.2,-0.35416335,0.3101712
50,1995-03-15,0.46,1.2,-0.24546617,0.18628131
51,1995-04-15,0.28,-1.1,-0.046711635,0.15348272
52,1995-05-15,-0.11,-0.6,0.22378404,0.06440208
53,1995-06-15,-0.14,0.2,0.06692916,0.09710135
54,1995-07-15,-0.21,0.7,0.25456423,-0.15383981
55,1995-08-15,-0.63,0.5,0.22675447,-0.5598883
56,1995-09-15,-0.84,0.4,0.030202517,-0.35464203
57,1995-10-15,-0.88,0.0,-0.062941246,-0.34635642
58,1995-11-15,-1.1,0.1,0.20917495,-0.37815836
59,1995-12-15,-0.95,-0.8,0.07331319,-0.3162276
60,1996-01-15,-0.86,1.6,0.3798354,-0.23415282
61,1996-02-15,-0.86,0.4,0.26393703,2.229864e-05
62,1996-03-15,-0.61,1.9,0.048243493,0.07009854
63,1996-04-15,-0.47,1.3,0.19224733,0.13880023
64,1996-05-15,-0.38,0.5,0.093446314,0.24561897
65,1996-06-15,-0.44,1.9,-0.041436084,0.3605427
66,1996-07-15,-0.44,1.1,-0.14045618,0.35305503
67,1996-08-15,-0.22,1.2,-0.17196102,0.31216273
68,1996-09-15,-0.45,1.0,-0.29453766,-0.026703378
69,1996-10-15,-0.44,1.0,-0.4495154,-0.123084135
70,1996-11-15,-0.41,-0.1,-0.51782745,-0.103666015
71,1996-12-15,-0.64,1.5,-0.3454263,-0.2769315
72,1997-01-15,-0.53,0.8,0.018073553,-0.5563864
73,1997-02-15,-0.37,2.9,0.14202504,-0.81747323
74,1997-03-15,-0.25,-0.7,0.026631756,-0.9688793
