,id,file_name,time_series_frequency,location_type,dt,parameter1_name,parameter1_value,parameter2_name,parameter2_value,parameter3_name,parameter3_value,parameter4_name,parameter4_value
0,1,"era5_indices_-23,5_-46,75",monthly,point,1991-01-01,dry_days,6,max_dry_days,2.0,heatwave,0,coldwave,0
1,2,"era5_indices_-23,5_-46,75",monthly,point,1991-02-01,dry_days,8,max_dry_days,7.0,heatwave,0,coldwave,0
2,3,"era5_indices_-23,5_-46,75",monthly,point,1991-03-01,dry_days,5,max_dry_days,3.0,heatwave,0,coldwave,0
3,4,"era5_indices_-23,5_-46,75",monthly,point,1991-04-01,dry_days,19,max_dry_days,6.0,heatwave,0,coldwave,0
4,5,"era5_indices_-23,5_-46,75",monthly,point,1991-05-01,dry_days,24,max_dry_days,8.0,heatwave,0,coldwave,0
5,6,"era5_indices_-23,5_-46,75",monthly,point,1991-06-01,dry_days,22,max_dry_days,11.0,heatwave,0,coldwave,0
6,7,"era5_indices_-23,5_-46,75",monthly,point,1991-07-01,dry_days,24,max_dry_days,15.0,heatwave,0,coldwave,9
7,8,"era5_indices_-23,5_-46,75",monthly,point,1991-08-01,dry_days,28,max_dry_days,23.0,heatwave,0,coldwave,7
8,9,"era5_indices_-23,5_-46,75",monthly,point,1991-09-01,dry_days,22,max_dry_days,17.0,heatwave,0,coldwave,0
9,10,"era5_indices_-23,5_-46,75",monthly,point,1991-10-01,dry_days,20,max_dry_days,12.0,heatwave,0,coldwave,0
10,11,"era5_indices_-23,5_-46,75",monthly,point,1991-11-01,dry_days,15,max_dry_days,8.0,heatwave,0,coldwave,0
11,12,"era5_indices_-23,5_-46,75",monthly,point,1991-12-01,dry_days,9,max_dry_days,4.0,heatwave,0,coldwave,0
12,13,"era5_indices_-23,5_-46,75",monthly,point,1992-01-01,dry_days,4,max_dry_days,3.0,heatwave,0,coldwave,0
13,14,"era5_indices_-23,5_-46,75",monthly,point,1992-02-01,dry_days,7,max_dry_days,4.0,heatwave,0,coldwave,0
14,15,"era5_indices_-23,5_-46,75",monthly,point,1992-03-01,dry_days,7,max_dry_days,2.0,heatwave,0,coldwave,0
15,16,"era5_indices_-23,5_-46,75",monthly,point,1992-04-01,dry_days,18,max_dry_days,5.0,heatwave,0,coldwave,0
16,17,"era5_indices_-23,5_-46,75",monthly,point,1992-05-01,dry_days,22,max_dry_days,7.0,heatwave,0,coldwave,0
17,18,"era5_indices_-23,5_-46,75",monthly,point,1992-06-01,dry_days,26,max_dry_days,17.0,heatwave,0,coldwave,2
18,19,"era5_indices_-23,5_-46,75",monthly,point,1992-07-01,dry_days,19,max_dry_days,6.0,heatwave,0,coldwave,7
19,20,"era5_indices_-23,5_-46,75",monthly,point,1992-08-01,dry_days,23,max_dry_days,9.0,heatwave,0,coldwave,6
20,21,"era5_indices_-23,5_-46,75",monthly,point,1992-09-01,dry_days,11,max_dry_days,4.0,heatwave,0,coldwave,0
21,22,"era5_indices_-23,5_-46,75",monthly,point,1992-10-01,dry_days,12,max_dry_days,3.0,heatwave,0,coldwave,0
22,23,"era5_indices_-23,5_-46,75",monthly,point,1992-11-01,dry_days,11,max_dry_days,4.0,heatwave,0,coldwave,0
23,24,"era5_indices_-23,5_-46,75",monthly,point,1992-12-01,dry_days,17,max_dry_days,4.0,heatwave,0,coldwave,0
24,25,"era5_indices_-23,5_-46,75",monthly,point,1993-01-01,dry_days,12,max_dry_days,4.0,heatwave,0,coldwave,0
25,26,"era5_indices_-23,5_-46,75",monthly,point,1993-02-01,dry_days,3,max_dry_days,2.0,heatwave,0,coldwave,0
26,27,"era5_indices_-23,5_-46,75",monthly,point,1993-03-01,dry_days,7,max_dry_days,3.0,heatwave,0,coldwave,0
27,28,"era5_indices_-23,5_-46,75",monthly,point,1993-04-01,dry_days,20,max_dry_days,8.0,heatwave,0,coldwave,0
28,29,"era5_indices_-23,5_-46,75",monthly,point,1993-05-01,dry_days,23,max_dry_days,13.0,heatwave,0,coldwave,0
29,30,"era5_indices_-23,5_-46,75",monthly,point,1993-06-01,dry_days,22,max_dry_days,10.0,heatwave,0,coldwave,3
30,31,"era5_indices_-23,5_-46,75",monthly,point,1993-07-01,dry_days,25,max_dry_days,14.0,heatwave,0,coldwave,2
31,32,"era5_indices_-23,5_-46,75",monthly,point,1993-08-01,dry_days,25,max_dry_days,9.0,heatwave,0,coldwave,9
32,33,"era5_indices_-23,5_-46,75",monthly,point,1993-09-01,dry_days,17,max_dry_days,7.0,heatwave,0,coldwave,1
33,34,"era5_indices_-23,5_-46,75",monthly,point,1993-10-01,dry_days,17,max_dry_days,9.0,heatwave,0,coldwave,1
34,35,"era5_indices_-23,5_-46,75",monthly,point,1993-11-01,dry_days,20,max_dry_days,8.0,heatwave,0,coldwave,0
35,36,"era5_indices_-23,5_-46,75",monthly,point,1993-12-01,dry_days,12,max_dry_days,3.0,heatwave,0,coldwave,0
36,37,"era5_indices_-23,5_-46,75",monthly,point,1994-01-01,dry_days,7,max_dry_days,3.0,heatwave,0,coldwave,0
37,38,"era5_indices_-23,5_-46,75",monthly,point,1994-02-01,dry_days,6,max_dry_days,2.0,heatwave,0,coldwave,0
38,39,"era5_indices_-23,5_-46,75",monthly,point,1994-03-01,dry_days,9,max_dry_days,4.0,heatwave,0,coldwave,0
39,40,"era5_indices_-23,5_-46,75",monthly,point,1994-04-01,dry_days,17,max_dry_days,4.0,heatwave,0,coldwave,0
40,41,"era5_indices_-23,5_-46,75",monthly,point,1994-05-01,dry_days,19,max_dry_days,10.0,heatwave,0,coldwave,0
41,42,"era5_indices_-23,5_-46,75",monthly,point,1994-06-01,dry_days,26,max_dry_days,15.0,heatwave,0,coldwave,6
42,43,"era5_indices_-23,5_-46,75",monthly,point,1994-07-01,dry_days,26,max_dry_days,13.0,heatwave,0,coldwave,8
43,44,"era5_indices_-23,5_-46,75",monthly,point,1994-08-01,dry_days,28,max_dry_days,14.0,heatwave,0,coldwave,3
44,45,"era5_indices_-23,5_-46,75",monthly,point,1994-09-01,dry_days,22,max_dry_days,10.0,heatwave,0,coldwave,0
45,46,"era5_indices_-23,5_-46,75",monthly,point,1994-10-01,dry_days,16,max_dry_days,4.0,heatwave,0,coldwave,0
46,47,"era5_indices_-23,5_-46,75",monthly,point,1994-11-01,dry_days,12,max_dry_days,5.0,heatwave,0,coldwave,0
47,48,"era5_indices_-23,5_-46,75",monthly,point,1994-12-01,dry_days,12,max_dry_days,4.0,heatwave,0,coldwave,0
48,49,"era5_indices_-23,5_-46,75",monthly,point,1995-01-01,dry_days,6,max_dry_days,2.0,heatwave,0,coldwave,0
49,50,"era5_indices_-23,5_-46,75",monthly,point,1995-02-01,dry_days,7,max_dry_days,7.0,heatwave,0,coldwave,0
50,51,"era5_indices_-23,5_-46,75",monthly,point,1995-03-01,dry_days,9,max_dry_days,4.0,heatwave,0,coldwave,0
51,52,"era5_indices_-23,5_-46,75",monthly,point,1995-04-01,dry_days,20,max_dry_days,6.0,heatwave,0,coldwave,0
