,id,file_name,time_series_frequency,location_type,dt,lat,lon,parameter1_name,parameter1_value,parameter2_name,parameter2_value,parameter3_name,parameter3_value,parameter4_name,parameter4_value,parameter5_name,parameter5_value,parameter6_name,parameter6_value,parameter7_name,parameter7_value,parameter8_name,parameter8_value
0,1,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1991-01-31,-23.5,-46.75,prp,382.63,tmed,21.58,tmax,29.4,tmin,15.14,anom_prp,157.22,anom_tmed,-1.13,anom_tmax,-2.23,anom_tmin,-1.06
1,2,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1991-02-28,-23.5,-46.75,prp,175.05,tmed,21.8,tmax,29.8,tmin,12.88,anom_prp,3.56,anom_tmed,-1.13,anom_tmax,-1.76,anom_tmin,-3.77
2,3,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1991-03-31,-23.5,-46.75,prp,218.45,tmed,21.14,tmax,29.22,tmin,14.98,anom_prp,74.86,anom_tmed,-1.08,anom_tmax,-1.92,anom_tmin,-0.75
3,4,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1991-04-30,-23.5,-46.75,prp,105.04,tmed,20.12,tmax,29.39,tmin,12.39,anom_prp,41.15,anom_tmed,-0.57,anom_tmax,-0.25,anom_tmin,-0.57
4,5,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1991-05-31,-23.5,-46.75,prp,56.38,tmed,18.19,tmax,25.89,tmin,12.08,anom_prp,-5.02,anom_tmed,0.19,anom_tmax,-1.88,anom_tmin,2.22
5,6,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1991-06-30,-23.5,-46.75,prp,91.51,tmed,17.54,tmax,27.37,tmin,10.12,anom_prp,44.3,anom_tmed,0.45,anom_tmax,0.78,anom_tmin,1.91
6,7,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1991-07-31,-23.5,-46.75,prp,29.21,tmed,15.93,tmax,25.06,tmin,7.76,anom_prp,-20.4,anom_tmed,-0.81,anom_tmax,-2.26,anom_tmin,0.14
7,8,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1991-08-31,-23.5,-46.75,prp,28.76,tmed,17.56,tmax,28.07,tmin,5.28,anom_prp,-11.6,anom_tmed,-0.18,anom_tmax,-1.9,anom_tmin,-3.18
8,9,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1991-09-30,-23.5,-46.75,prp,93.63,tmed,17.61,tmax,30.53,tmin,10.22,anom_prp,6.73,anom_tmed,-1.48,anom_tmax,-1.73,anom_tmin,-0.05
9,10,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1991-10-31,-23.5,-46.75,prp,142.29,tmed,19.9,tmax,31.87,tmin,11.8,anom_prp,20.78,anom_tmed,-0.48,anom_tmax,-0.51,anom_tmin,-0.37
10,11,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1991-11-30,-23.5,-46.75,prp,111.99,tmed,21.22,tmax,30.53,tmin,14.22,anom_prp,-35.94,anom_tmed,0.41,anom_tmax,-0.88,anom_tmin,1.31
11,12,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1991-12-31,-23.5,-46.75,prp,165.72,tmed,22.41,tmax,29.98,tmin,14.01,anom_prp,-7.26,anom_tmed,0.24,anom_tmax,-1.51,anom_tmin,-0.78
12,13,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1992-01-31,-23.5,-46.75,prp,228.39,tmed,22.03,tmax,30.42,tmin,15.32,anom_prp,2.98,anom_tmed,-0.67,anom_tmax,-1.2,anom_tmin,-0.88
13,14,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1992-02-29,-23.5,-46.75,prp,120.35,tmed,22.67,tmax,30.45,tmin,17.11,anom_prp,-51.14,anom_tmed,-0.27,anom_tmax,-1.12,anom_tmin,0.45
14,15,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1992-03-31,-23.5,-46.75,prp,152.69,tmed,21.93,tmax,29.55,tmin,14.94,anom_prp,9.1,anom_tmed,-0.29,anom_tmax,-1.6,anom_tmin,-0.79
15,16,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1992-04-30,-23.5,-46.75,prp,52.74,tmed,20.34,tmax,29.33,tmin,12.84,anom_prp,-11.15,anom_tmed,-0.36,anom_tmax,-0.31,anom_tmin,-0.11
16,17,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1992-05-31,-23.5,-46.75,prp,137.95,tmed,19.15,tmax,26.82,tmin,12.24,anom_prp,76.55,anom_tmed,1.15,anom_tmax,-0.94,anom_tmin,2.38
17,18,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1992-06-30,-23.5,-46.75,prp,9.76,tmed,18.36,tmax,27.53,tmin,8.49,anom_prp,-37.45,anom_tmed,1.27,anom_tmax,0.94,anom_tmin,0.29
18,19,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1992-07-31,-23.5,-46.75,prp,117.46,tmed,15.94,tmax,26.43,tmin,7.97,anom_prp,67.86,anom_tmed,-0.8,anom_tmax,-0.89,anom_tmin,0.36
19,20,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1992-08-31,-23.5,-46.75,prp,37.0,tmed,16.12,tmax,27.54,tmin,6.71,anom_prp,-3.36,anom_tmed,-1.61,anom_tmax,-2.42,anom_tmin,-1.75
20,21,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1992-09-30,-23.5,-46.75,prp,108.66,tmed,17.53,tmax,28.14,tmin,11.99,anom_prp,21.76,anom_tmed,-1.57,anom_tmax,-4.11,anom_tmin,1.72
21,22,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1992-10-31,-23.5,-46.75,prp,135.83,tmed,19.74,tmax,29.45,tmin,11.86,anom_prp,14.32,anom_tmed,-0.63,anom_tmax,-2.93,anom_tmin,-0.31
22,23,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1992-11-30,-23.5,-46.75,prp,111.09,tmed,20.33,tmax,30.99,tmin,12.34,anom_prp,-36.83,anom_tmed,-0.49,anom_tmax,-0.42,anom_tmin,-0.57
23,24,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1992-12-31,-23.5,-46.75,prp,169.49,tmed,21.11,tmax,30.79,tmin,13.11,anom_prp,-3.5,anom_tmed,-1.05,anom_tmax,-0.71,anom_tmin,-1.68
24,25,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1993-01-31,-23.5,-46.75,prp,158.19,tmed,22.88,tmax,32.57,tmin,16.87,anom_prp,-67.22,anom_tmed,0.17,anom_tmax,0.94,anom_tmin,0.67
25,26,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1993-02-28,-23.5,-46.75,prp,241.47,tmed,21.77,tmax,28.73,tmin,17.18,anom_prp,69.98,anom_tmed,-1.17,anom_tmax,-2.83,anom_tmin,0.52
26,27,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1993-03-31,-23.5,-46.75,prp,166.64,tmed,22.36,tmax,30.93,tmin,16.43,anom_prp,23.05,anom_tmed,0.14,anom_tmax,-0.21,anom_tmin,0.7
27,28,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1993-04-30,-23.5,-46.75,prp,83.64,tmed,21.2,tmax,29.45,tmin,14.43,anom_prp,19.75,anom_tmed,0.5,anom_tmax,-0.19,anom_tmin,1.48
28,29,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1993-05-31,-23.5,-46.75,prp,79.03,tmed,18.08,tmax,26.74,tmin,10.46,anom_prp,17.63,anom_tmed,0.07,anom_tmax,-1.03,anom_tmin,0.6
29,30,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1993-06-30,-23.5,-46.75,prp,61.81,tmed,16.22,tmax,24.13,tmin,9.07,anom_prp,14.6,anom_tmed,-0.88,anom_tmax,-2.46,anom_tmin,0.87
30,31,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1993-07-31,-23.5,-46.75,prp,37.19,tmed,17.22,tmax,27.62,tmin,8.88,anom_prp,-12.41,anom_tmed,0.48,anom_tmax,0.3,anom_tmin,1.26
31,32,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1993-08-31,-23.5,-46.75,prp,39.02,tmed,15.95,tmax,30.61,tmin,4.71,anom_prp,-1.34,anom_tmed,-1.78,anom_tmax,0.64,anom_tmin,-3.75
32,33,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1993-09-30,-23.5,-46.75,prp,196.29,tmed,17.7,tmax,30.96,tmin,9.55,anom_prp,109.39,anom_tmed,-1.39,anom_tmax,-1.3,anom_tmin,-0.71
33,34,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1993-10-31,-23.5,-46.75,prp,83.16,tmed,20.85,tmax,30.95,tmin,9.19,anom_prp,-38.35,anom_tmed,0.47,anom_tmax,-1.43,anom_tmin,-2.98
34,35,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1993-11-30,-23.5,-46.75,prp,104.19,tmed,22.72,tmax,32.16,tmin,14.78,anom_prp,-43.74,anom_tmed,1.9,anom_tmax,0.75,anom_tmin,1.87
35,36,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1993-12-31,-23.5,-46.75,prp,125.93,tmed,22.1,tmax,30.84,tmin,14.16,anom_prp,-47.06,anom_tmed,-0.07,anom_tmax,-0.66,anom_tmin,-0.63
36,37,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1994-01-31,-23.5,-46.75,prp,169.53,tmed,21.9,tmax,30.91,tmin,16.29,anom_prp,-55.88,anom_tmed,-0.81,anom_tmax,-0.72,anom_tmin,0.09
37,38,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1994-02-28,-23.5,-46.75,prp,164.7,tmed,24.44,tmax,32.14,tmin,19.16,anom_prp,-6.79,anom_tmed,1.51,anom_tmax,0.57,anom_tmin,2.51
38,39,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1994-03-31,-23.5,-46.75,prp,149.83,tmed,21.44,tmax,29.5,tmin,15.15,anom_prp,6.24,anom_tmed,-0.78,anom_tmax,-1.64,anom_tmin,-0.58
39,40,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1994-04-30,-23.5,-46.75,prp,97.27,tmed,20.33,tmax,28.74,tmin,13.8,anom_prp,33.38,anom_tmed,-0.36,anom_tmax,-0.9,anom_tmin,0.85
40,41,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1994-05-31,-23.5,-46.75,prp,103.35,tmed,19.41,tmax,26.96,tmin,10.88,anom_prp,41.95,anom_tmed,1.4,anom_tmax,-0.81,anom_tmin,1.03
41,42,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1994-06-30,-23.5,-46.75,prp,68.42,tmed,16.13,tmax,25.8,tmin,2.75,anom_prp,21.21,anom_tmed,-0.96,anom_tmax,-0.79,anom_tmin,-5.45
42,43,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1994-07-31,-23.5,-46.75,prp,63.57,tmed,16.88,tmax,27.43,tmin,3.56,anom_prp,13.96,anom_tmed,0.14,anom_tmax,0.11,anom_tmin,-4.06
43,44,"era5_monthly_-23,5_-46,75_010191_300424",monthly,point,1994-08-31,-23.5,-46.75,prp,8.82,tmed,16.85,tmax,29.23,tmin,6.84,anom_prp,-31.54,anom_tmed,-0.88,anom_tmax,-0.73,anom_tmin,-1.62
