,time,parameter1_name,parameter1_value,parameter2_name,parameter2_value,parameter3_name,parameter3_value,parameter4_name,parameter4_value
0,1991-01-31,vento_med,8.17,vento_max,19.26,anom_vento_med,0.13,anom_vento_max,2.35
1,1991-02-28,vento_med,8.23,vento_max,16.38,anom_vento_med,1.11,anom_vento_max,0.36
2,1991-03-31,vento_med,8.9,vento_max,20.13,anom_vento_med,1.13,anom_vento_max,3.18
3,1991-04-30,vento_med,8.14,vento_max,20.21,anom_vento_med,0.06,anom_vento_max,3.31
4,1991-05-31,vento_med,8.73,vento_max,15.92,anom_vento_med,0.37,anom_vento_max,-1.83
5,1991-06-30,vento_med,8.19,vento_max,20.11,anom_vento_med,0.05,anom_vento_max,2.67
6,1991-07-31,vento_med,8.73,vento_max,15.88,anom_vento_med,0.26,anom_vento_max,-1.68
7,1991-08-31,vento_med,9.63,vento_max,19.3,anom_vento_med,0.9,anom_vento_max,1.59
8,1991-09-30,vento_med,10.08,vento_max,19.59,anom_vento_med,0.5,anom_vento_max,0.34
9,1991-10-31,vento_med,10.32,vento_max,22.48,anom_vento_med,1.06,anom_vento_max,3.07
10,1991-11-30,vento_med,9.04,vento_max,14.56,anom_vento_med,-0.43,anom_vento_max,-4.66
11,1991-12-31,vento_med,10.2,vento_max,18.77,anom_vento_med,1.53,anom_vento_max,-0.17
12,1992-01-31,vento_med,9.25,vento_max,19.23,anom_vento_med,1.2,anom_vento_max,2.32
13,1992-02-29,vento_med,6.83,vento_max,15.5,anom_vento_med,-0.29,anom_vento_max,-0.52
14,1992-03-31,vento_med,5.67,vento_max,14.98,anom_vento_med,-2.1,anom_vento_max,-1.96
15,1992-04-30,vento_med,8.91,vento_max,18.03,anom_vento_med,0.83,anom_vento_max,1.13
16,1992-05-31,vento_med,9.39,vento_max,21.39,anom_vento_med,1.02,anom_vento_max,3.64
17,1992-06-30,vento_med,8.08,vento_max,19.36,anom_vento_med,-0.06,anom_vento_max,1.93
18,1992-07-31,vento_med,10.73,vento_max,20.02,anom_vento_med,2.25,anom_vento_max,2.47
19,1992-08-31,vento_med,9.64,vento_max,19.28,anom_vento_med,0.91,anom_vento_max,1.57
20,1992-09-30,vento_med,10.36,vento_max,19.66,anom_vento_med,0.79,anom_vento_max,0.41
21,1992-10-31,vento_med,9.95,vento_max,17.11,anom_vento_med,0.7,anom_vento_max,-2.29
22,1992-11-30,vento_med,9.72,vento_max,23.39,anom_vento_med,0.25,anom_vento_max,4.18
23,1992-12-31,vento_med,9.4,vento_max,17.02,anom_vento_med,0.74,anom_vento_max,-1.91
24,1993-01-31,vento_med,7.87,vento_max,18.01,anom_vento_med,-0.18,anom_vento_max,1.09
25,1993-02-28,vento_med,6.55,vento_max,12.68,anom_vento_med,-0.56,anom_vento_max,-3.34
26,1993-03-31,vento_med,5.97,vento_max,16.59,anom_vento_med,-1.8,anom_vento_max,-0.35
27,1993-04-30,vento_med,6.77,vento_max,13.42,anom_vento_med,-1.32,anom_vento_max,-3.48
28,1993-05-31,vento_med,10.57,vento_max,20.55,anom_vento_med,2.2,anom_vento_max,2.8
29,1993-06-30,vento_med,9.78,vento_max,18.72,anom_vento_med,1.64,anom_vento_max,1.29
30,1993-07-31,vento_med,8.48,vento_max,18.04,anom_vento_med,0.01,anom_vento_max,0.49
31,1993-08-31,vento_med,8.65,vento_max,16.23,anom_vento_med,-0.07,anom_vento_max,-1.48
32,1993-09-30,vento_med,9.83,vento_max,18.4,anom_vento_med,0.25,anom_vento_max,-0.85
33,1993-10-31,vento_med,7.67,vento_max,19.33,anom_vento_med,-1.59,anom_vento_max,-0.07
34,1993-11-30,vento_med,9.04,vento_max,18.49,anom_vento_med,-0.43,anom_vento_max,-0.72
35,1993-12-31,vento_med,9.97,vento_max,20.71,anom_vento_med,1.31,anom_vento_max,1.77
36,1994-01-31,vento_med,8.88,vento_max,19.76,anom_vento_med,0.83,anom_vento_max,2.85
37,1994-02-28,vento_med,5.64,vento_max,12.43,anom_vento_med,-1.48,anom_vento_max,-3.58
38,1994-03-31,vento_med,10.27,vento_max,20.48,anom_vento_med,2.51,anom_vento_max,3.54
39,1994-04-30,vento_med,9.66,vento_max,18.59,anom_vento_med,1.57,anom_vento_max,1.69
40,1994-05-31,vento_med,5.92,vento_max,13.82,anom_vento_med,-2.45,anom_vento_max,-3.93
41,1994-06-30,vento_med,7.62,vento_max,16.74,anom_vento_med,-0.52,anom_vento_max,-0.7
42,1994-07-31,vento_med,8.75,vento_max,16.55,anom_vento_med,0.28,anom_vento_max,-1.01
43,1994-08-31,vento_med,9.06,vento_max,19.26,anom_vento_med,0.34,anom_vento_max,1.55
44,1994-09-30,vento_med,9.57,vento_max,21.63,anom_vento_med,-0.01,anom_vento_max,2.38
45,1994-10-31,vento_med,9.78,vento_max,22.75,anom_vento_med,0.52,anom_vento_max,3.35
46,1994-11-30,vento_med,9.22,vento_max,20.13,anom_vento_med,-0.25,anom_vento_max,0.92
47,1994-12-31,vento_med,7.96,vento_max,18.92,anom_vento_med,-0.71,anom_vento_max,-0.02
48,1995-01-31,vento_med,7.31,vento_max,13.63,anom_vento_med,-0.74,anom_vento_max,-3.28
49,1995-02-28,vento_med,6.68,vento_max,14.0,anom_vento_med,-0.44,anom_vento_max,-2.02
50,1995-03-31,vento_med,8.04,vento_max,17.84,anom_vento_med,0.27,anom_vento_max,0.9
51,1995-04-30,vento_med,8.02,vento_max,21.15,anom_vento_med,-0.07,anom_vento_max,4.25
52,1995-05-31,vento_med,7.08,vento_max,16.83,anom_vento_med,-1.29,anom_vento_max,-0.93
53,1995-06-30,vento_med,8.13,vento_max,18.16,anom_vento_med,-0.01,anom_vento_max,0.73
54,1995-07-31,vento_med,7.06,vento_max,15.74,anom_vento_med,-1.42,anom_vento_max,-1.81
55,1995-08-31,vento_med,8.43,vento_max,18.99,anom_vento_med,-0.3,anom_vento_max,1.28
56,1995-09-30,vento_med,10.94,vento_max,23.59,anom_vento_med,1.36,anom_vento_max,4.34
57,1995-10-31,vento_med,9.07,vento_max,21.33,anom_vento_med,-0.19,anom_vento_max,1.93
58,1995-11-30,vento_med,9.33,vento_max,16.54,anom_vento_med,-0.14,anom_vento_max,-2.67
59,1995-12-31,vento_med,9.01,vento_max,18.45,anom_vento_med,0.35,anom_vento_max,-0.49
60,1996-01-31,vento_med,7.07,vento_max,17.22,anom_vento_med,-0.97,anom_vento_max,0.3
61,1996-02-29,vento_med,7.13,vento_max,19.85,anom_vento_med,0.01,anom_vento_max,3.83
62,1996-03-31,vento_med,7.09,vento_max,16.84,anom_vento_med,-0.68,anom_vento_max,-0.11
63,1996-04-30,vento_med,8.64,vento_max,18.16,anom_vento_med,0.55,anom_vento_max,1.26
64,1996-05-31,vento_med,7.77,vento_max,14.95,anom_vento_med,-0.6,anom_vento_max,-2.8
65,1996-06-30,vento_med,8.66,vento_max,14.78,anom_vento_med,0.52,anom_vento_max,-2.65
66,1996-07-31,vento_med,9.48,vento_max,19.22,anom_vento_med,1.01,anom_vento_max,1.67
67,1996-08-31,vento_med,8.42,vento_max,15.58,anom_vento_med,-0.3,anom_vento_max,-2.13
68,1996-09-30,vento_med,10.49,vento_max,19.73,anom_vento_med,0.92,anom_vento_max,0.49
69,1996-10-31,vento_med,9.01,vento_max,17.68,anom_vento_med,-0.24,anom_vento_max,-1.73
70,1996-11-30,vento_med,10.62,vento_max,20.19,anom_vento_med,1.15,anom_vento_max,0.98
71,1996-12-31,vento_med,8.26,vento_max,14.55,anom_vento_med,-0.41,anom_vento_max,-4.39
